collection_id,collection_name,doi,pmid,pmcid,source,secondary_doi
1345,Transient brain activity disentangles fMRI resting-state dynamics in terms of spatially and temporally overlapping networks,10.1038/ncomms8751,26178017,4518303,neurovault,
109,The structural–functional connectome and the default mode network of the human brain,10.1016/j.neuroimage.2013.09.069,24099851,,neurovault,
1056,Non-invasive mapping of connections between human thalamus and cortex using diffusion imaging,10.1038/nn1075,12808459,,neurovault,
865,Losing Neutrality: The Neural Basis of Impaired Emotional Control without Sleep,10.1523/JNEUROSCI.1314-15.2015,26400948,6605430,neurovault,
1039,Decreased Prefrontal Lobe Interhemispheric Functional Connectivity in Adolescents with Internet Gaming Disorder: A Primary Study Using Resting-State fMRI,10.1371/journal.pone.0118733,25738502,4349655,neurovault,
1195,Multicentre absolute myelin water content mapping: Development of a whole brain atlas and application to low-grade multiple sclerosis,10.1016/j.nicl.2012.09.013,24179745,3757724,neurovault,
588,fMRI measurements of amygdala activation are confounded by stimulus correlated signal fluctuation in nearby veins draining distant brain regions,10.1038/srep10499,25994551,4440210,neurovault,
1196,Brain shaving: adaptive detection for brain PET data,10.1088/0031-9155/59/10/2517,24778363,,neurovault,
1058,Generation and Evaluation of a Cortical Area Parcellation from Resting-State Correlations,10.1093/cercor/bhu239,25316338,4677978,neurovault,
1197,The predictive power of brain mRNA mappings for in vivo protein density: a positron emission tomography correlation study,10.1038/jcbfm.2014.21,24496175,4013760,neurovault,
555,"Reward processing in obesity, substance addiction and non-substance addiction",10.1111/obr.12221,25263466,,neurovault,
437,Reorganization of functionally connected brain subnetworks in high-functioning autism,10.1002/hbm.23084,26686668,6867362,neurovault,
56,Resting States Are Resting Traits – An fMRI Study of Sex Differences and Menstrual Cycle Effects in Resting State Cognitive Control Networks,10.1371/journal.pone.0103492,25057823,4110030,neurovault,
426,Social-Cognitive Deficits in Normal Aging,10.1523/JNEUROSCI.5511-11.2012,22514317,3341664,neurovault,
423,Common Neural Substrates for Inhibition of Spoken and Manual Responses,10.1093/cercor/bhm220,18245044,,neurovault,
550,Quantifying inter-individual anatomical variability in the subcortex using 7T structural MRI,10.1016/j.neuroimage.2014.03.032,24650599,,neurovault,
7,Ventromedial prefrontal-subcortical systems and the generation of affective meaning,10.1016/j.tics.2012.01.005,22310704,3318966,neurovault,
419,Utilising functional MRI (fMRI) to explore the freezing phenomenon in Parkinson’s disease,10.1016/j.jocn.2011.02.003,21398129,,neurovault,
