pmid,pmcid,doi,secondary_doi,collection_id,collection_name,source,image_name,map_type,image_file,collection_id.1,image_id,number_of_subjects,cognitive_paradigm_cogatlas_id,cognitive_contrast_cogatlas_id,contrast_definition,cognitive_paradigm_cogatlas_name,cognitive_contrast_cogatlas_name,image_path,contrast_id,id
28948083.0,5607552.0,10.1002/brb3.789,,1626,Predictive processing increases intelligibility of acoustically distorted speech: Behavioral and neural correlates,neurovault,1st presentation of distorted sentences,T,images/1626/spmT_0001.nii.gz,1626,24447,20.0,trm_5519c3eaa3fb7,,,Speech Detection,None / Other,1626-24447_spmT_0001.nii.gz,"collection_id    1626
collection_id    1626
Name: 0, dtype: object-24447","28948083.0-collection_id    1626
collection_id    1626
Name: 0, dtype: object-24447"
26434803.0,4651739.0,10.1016/j.neuroimage.2015.09.063,,1827,Adolescent neurodevelopment of cognitive control and risk-taking in negative family contexts,neurovault,Regression of Negative Family Relationships,T,images/1827/spmT_0001.nii.gz,1827,28448,20.0,tsk_4a57abb949a93,cnt_4b4a2f2e27574,Nogo T2 > Nogo T1,go/no-go task,Go trials,1827-28448_spmT_0001.nii.gz,"collection_id    1827
collection_id    1827
Name: 1, dtype: object-28448","26434803.0-collection_id    1827
collection_id    1827
Name: 1, dtype: object-28448"
28168598.0,5403860.0,10.3758/s13415-017-0497-9,,1932,Brain activity underlying negative self- and other-perception in adolescents: The role of attachment-derived self-representations,neurovault,Adjective attribution: self negative VERSUS other negative,T,images/1932/spmT_0001_7.nii.gz,1932,29372,44.0,trm_553fd2fc7a648,Other,Adjective attribution: self negative VERSUS other negative,complex trait judgment task,Other,1932-29372_spmT_0001_7.nii.gz,"collection_id    1932
collection_id    1932
Name: 2, dtype: object-29372","28168598.0-collection_id    1932
collection_id    1932
Name: 2, dtype: object-29372"
28948083.0,5607552.0,10.1002/brb3.789,,1626,Predictive processing increases intelligibility of acoustically distorted speech: Behavioral and neural correlates,neurovault,2nd presentation of distorted sentences,T,images/1626/spmT_0001_2.nii.gz,1626,24449,20.0,trm_5519c3eaa3fb7,,,Speech Detection,None / Other,1626-24449_spmT_0001_2.nii.gz,"collection_id    1626
collection_id    1626
Name: 3, dtype: object-24449","28948083.0-collection_id    1626
collection_id    1626
Name: 3, dtype: object-24449"
34469813.0,,10.1016/j.neuroimage.2021.118534,,8736,Touching events predict human action segmentation in brain and behavior,neurovault,Supplementary Table 5: T > nTU,T,images/8736/GLMpara_T_nTU_spmT_0001.nii.gz,8736,446084,31.0,tsk_4a57abb949846,cnt_4e08fefbf0382,,action observation task,standard deviation from the mean accuracy score,8736-446084_GLMpara_T_nTU_spmT_0001.nii.gz,"collection_id    8736
collection_id    8736
Name: 4, dtype: object-446084","34469813.0-collection_id    8736
collection_id    8736
Name: 4, dtype: object-446084"
26539094.0,4611149.0,10.3389/fnhum.2015.00553,,1649,Being asked to tell an unpleasant truth about another person activates anterior insula and medial prefrontal cortex,neurovault,Social > simple truth telling,T,images/1649/con_0001.nii.gz,1649,24538,23.0,trm_550b557e5f90e,cnt_55314940f18c6,,social cognition (theory of mind) fMRI task paradigm,Mental Interaction minus Random Interaction,1649-24538_con_0001.nii.gz,"collection_id    1649
collection_id    1649
Name: 5, dtype: object-24538","26539094.0-collection_id    1649
collection_id    1649
Name: 5, dtype: object-24538"
28489500.0,,10.1177/0956797617699838,,1935,Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?,neurovault,across-group change for Go events,Z,images/1935/zstat5.nii.gz,1935,29375,44.0,tsk_4a57abb949a93,cnt_4b4a2f2e27574,,go/no-go task,Go trials,1935-29375_zstat5.nii.gz,"collection_id    1935
collection_id    1935
Name: 6, dtype: object-29375","28489500.0-collection_id    1935
collection_id    1935
Name: 6, dtype: object-29375"
26341544.0,4775464.0,10.1016/j.bandl.2015.08.004,,160,Patients with focal cerebellar lesions show reduced auditory cortex activation during silent reading,neurovault,Scrambled>Letterstrings controls,T,images/160/spmT_0002_2.nii.gz,160,735,20.0,trm_553e73e29cf7d,cnt_55413a0769113,reading of meaningful words presented in random order - viewing of meaningless letter stings (consonants) ,contextual semantic priming task,scrambled minus letter string,160-735_spmT_0002_2.nii.gz,"collection_id    160
collection_id    160
Name: 7, dtype: object-735","26341544.0-collection_id    160
collection_id    160
Name: 7, dtype: object-735"
26341544.0,4775464.0,10.1016/j.bandl.2015.08.004,,160,Patients with focal cerebellar lesions show reduced auditory cortex activation during silent reading,neurovault,Incongruent>Congruent patients,T,images/160/spmT_0003_1.nii.gz,160,757,20.0,trm_553e73e29cf7d,cnt_55413a264f834,,contextual semantic priming task,incongruent minus congruent,160-757_spmT_0003_1.nii.gz,"collection_id    160
collection_id    160
Name: 8, dtype: object-757","26341544.0-collection_id    160
collection_id    160
Name: 8, dtype: object-757"
26341544.0,4775464.0,10.1016/j.bandl.2015.08.004,,160,Patients with focal cerebellar lesions show reduced auditory cortex activation during silent reading,neurovault,Scrambled>Letterstrings controls>patients,T,images/160/spmT_0001_2.nii.gz,160,744,20.0,trm_553e73e29cf7d,cnt_55413a0769113,,contextual semantic priming task,scrambled minus letter string,160-744_spmT_0001_2.nii.gz,"collection_id    160
collection_id    160
Name: 9, dtype: object-744","26341544.0-collection_id    160
collection_id    160
Name: 9, dtype: object-744"
26341544.0,4775464.0,10.1016/j.bandl.2015.08.004,,160,Patients with focal cerebellar lesions show reduced auditory cortex activation during silent reading,neurovault,Congruent>Scrambled patients,T,images/160/spmT_0003.nii.gz,160,754,20.0,trm_553e73e29cf7d,cnt_55413a13ad2fb,,contextual semantic priming task,congruent minus scrambled,160-754_spmT_0003.nii.gz,"collection_id    160
collection_id    160
Name: 10, dtype: object-754","26341544.0-collection_id    160
collection_id    160
Name: 10, dtype: object-754"
29078345.0,5715758.0,10.1073/pnas.1710521114,,2969,Default mode contributions to automated information processing,neurovault,Acquisition vs Application 1,T,images/2969/Acquisition_greater_than_Application_unthresholded_spmT.nii.gz,2969,55584,28.0,tsk_4a57abb949f21,Other,Acquisition > Application,Wisconsin card sorting test,Other,2969-55584_Acquisition_greater_than_Application_unthresholded_spmT.nii.gz,"collection_id    2969
collection_id    2969
Name: 11, dtype: object-55584","29078345.0-collection_id    2969
collection_id    2969
Name: 11, dtype: object-55584"
28489500.0,,10.1177/0956797617699838,,1935,Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?,neurovault,School > Kindergarten group contrast for Go trials at pretest,Z,images/1935/zstat1_T1.nii.gz,1935,29376,44.0,tsk_4a57abb949a93,cnt_4b4a2f2e27574,,go/no-go task,Go trials,1935-29376_zstat1_T1.nii.gz,"collection_id    1935
collection_id    1935
Name: 12, dtype: object-29376","28489500.0-collection_id    1935
collection_id    1935
Name: 12, dtype: object-29376"
28777056.0,6138828.0,10.1162/jocn_a_01174,,1354,Neural Representation of Working Memory Content Is Modulated by Visual Attentional Demand,neurovault,Main Effect of Search Difficulty,T,images/1354/spmT_0001.nii.gz,1354,19037,28.0,trm_4da634216ebbc,Other,,dual-task paradigm,Other,1354-19037_spmT_0001.nii.gz,"collection_id    1354
collection_id    1354
Name: 13, dtype: object-19037","28777056.0-collection_id    1354
collection_id    1354
Name: 13, dtype: object-19037"
29339310.0,5883322.0,10.1016/j.neuroimage.2018.01.017,,2296,Distant from input: Evidence of regions within the default mode network supporting perceptually-decoupled and conceptually-guided cognition,neurovault,Colour 0-back > Rest,Z,images/2296/Uncontrastsed_Colour_0back_zstat1.nii.gz,2296,43794,29.0,trm_4ebd477ab5a11,,,object n-back,None / Other,2296-43794_Uncontrastsed_Colour_0back_zstat1.nii.gz,"collection_id    2296
collection_id    2296
Name: 14, dtype: object-43794","29339310.0-collection_id    2296
collection_id    2296
Name: 14, dtype: object-43794"
28489500.0,,10.1177/0956797617699838,,1935,Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?,neurovault,School > Kindergarten group contrast for NoGo trials at posttest,Z,images/1935/zstat1_T2_1.nii.gz,1935,29379,44.0,tsk_4a57abb949a93,cnt_4b4a2f46e2faa,,go/no-go task,Stop trial,1935-29379_zstat1_T2_1.nii.gz,"collection_id    1935
collection_id    1935
Name: 15, dtype: object-29379","28489500.0-collection_id    1935
collection_id    1935
Name: 15, dtype: object-29379"
